XYDATA, Curve 1
8.9999996126e-03    0.0000000000e+00
1.2000000104e-02    6.2100697309e-02
1.4999999665e-02    8.1299506128e-02
1.7999999225e-02    0.0000000000e+00
2.0994000137e-02    8.6299655959e-03
2.3994000629e-02    3.5049724579e-01
2.6993999258e-02    2.4301905930e-01
2.9993999749e-02    5.3908842802e-01
3.2993998379e-02    6.7814975977e-01
3.5994000733e-02    7.8180211782e-01
3.8993999362e-02    9.3668490648e-01
4.1994001716e-02    1.2950949669e+00
4.4994000345e-02    1.3231689930e+00
4.7993998975e-02    1.4764251709e+00
5.0999999046e-02    1.6454644203e+00
5.4000001401e-02    2.0026144981e+00
5.7000000030e-02    2.0175068378e+00
5.9999998659e-02    2.1784574986e+00
6.3000001013e-02    2.3586564064e+00
6.5999999642e-02    2.7079229355e+00
6.8999998271e-02    2.7087981701e+00
7.1999996901e-02    2.8797886372e+00
7.5000002980e-02    3.0730814934e+00
7.8000001609e-02    3.4043829441e+00
8.1000000238e-02    3.4035351276e+00
8.3999998868e-02    3.5879001617e+00
8.6993999779e-02    3.7886543274e+00
8.9993998408e-02    4.0949010849e+00
9.2993997037e-02    4.1057124138e+00
9.5994003117e-02    4.2928490639e+00
9.8994001746e-02    4.5054235458e+00
1.0199400038e-01    4.7871360779e+00
1.0499399900e-01    4.8103537560e+00
1.0799399763e-01    4.9946293831e+00
1.1099400371e-01    5.2236671448e+00
1.1399400234e-01    5.4761829376e+00
1.1699400097e-01    5.5147571564e+00
1.1999399960e-01    5.6973509789e+00
1.2299399823e-01    5.9446558952e+00
1.2599399686e-01    6.1626429558e+00
1.2899400294e-01    6.2204656601e+00
1.3199399412e-01    6.4010033607e+00
1.3499400020e-01    6.6671910286e+00
1.3799400628e-01    6.8479280472e+00
1.4099399745e-01    6.9288311005e+00
1.4399400353e-01    7.1073412895e+00
1.4699399471e-01    7.3861684799e+00
1.4999400079e-01    7.5327572823e+00
1.5299400687e-01    7.6369748116e+00
1.5599399805e-01    7.8167848587e+00
1.5899400413e-01    8.1018209457e+00
1.6199399531e-01    8.2185573578e+00
1.6499400139e-01    8.3436946869e+00
1.6799399257e-01    8.5261020660e+00
1.7099399865e-01    8.8194398880e+00
1.7399400473e-01    8.9086351395e+00
1.7699399590e-01    9.0521364212e+00
1.7999400198e-01    9.2365026474e+00
1.8299399316e-01    9.5343618393e+00
1.8599399924e-01    9.5998182297e+00
ENDATA

