XYDATA, Curve 1
-0.0000000000e+00    0.0000000000e+00
-0.0000000000e+00    0.0000000000e+00
3.8148439489e-04    1.3056953321e-04
1.4388323762e-03    1.3060051715e-03
2.6643564925e-03    2.5974798482e-03
4.3293996714e-03    4.4184112921e-03
6.4537776634e-03    7.7104899101e-03
8.8518066332e-03    1.0115067475e-02
1.1340498924e-02    1.1951279826e-02
1.4077310450e-02    1.3380990364e-02
1.7249248922e-02    1.3506872579e-02
2.0459549502e-02    1.2591062114e-02
2.3281708360e-02    1.2183431536e-02
2.4289285764e-02    1.6038937494e-02
2.5210799649e-02    2.6613479480e-02
2.7170192450e-02    3.5240489990e-02
2.9621697962e-02    3.9030507207e-02
3.2045755535e-02    4.2331162840e-02
3.5550102592e-02    4.2876925319e-02
3.9217270911e-02    3.8546945900e-02
4.0539588779e-02    4.0814030915e-02
4.1458815336e-02    5.2561953664e-02
4.3375652283e-02    6.1316449195e-02
4.5586567372e-02    6.8043909967e-02
4.8585958779e-02    7.1791961789e-02
5.2512429655e-02    6.7598201334e-02
5.5040519685e-02    6.4097754657e-02
5.6438360363e-02    7.4309453368e-02
ENDATA

