XYDATA, Curve 1
8.9999996126e-03    0.0000000000e+00
1.2000000104e-02    6.4115613699e-02
1.4999999665e-02    7.9196557403e-02
1.7999999225e-02    0.0000000000e+00
2.0994000137e-02    2.4723315611e-02
2.3994000629e-02    3.5228672624e-01
2.6993999258e-02    2.7503681183e-01
2.9993999749e-02    4.8644676805e-01
3.2993998379e-02    7.7920639515e-01
3.5994000733e-02    8.5513621569e-01
3.8993999362e-02    1.0234663486e+00
4.1994001716e-02    1.1893172264e+00
4.4994000345e-02    1.5278445482e+00
4.7993998975e-02    1.6059490442e+00
5.0999999046e-02    1.7690039873e+00
5.4000001401e-02    1.9402227402e+00
5.7000000030e-02    2.2105839252e+00
5.9999998659e-02    2.3728275299e+00
6.3000001013e-02    2.5184519291e+00
6.5999999642e-02    2.6870081425e+00
6.8999998271e-02    2.8486685753e+00
7.1999996901e-02    3.1829068661e+00
7.5000002980e-02    3.2737886906e+00
7.8000001609e-02    3.4304347038e+00
8.1000000238e-02    3.6080243587e+00
8.3999998868e-02    3.8427338600e+00
8.6993999779e-02    4.0573196411e+00
8.9993998408e-02    4.1828532219e+00
9.2993997037e-02    4.3528409004e+00
9.5994003117e-02    4.5141458511e+00
9.8994001746e-02    4.8300552368e+00
1.0199400038e-01    4.9462561607e+00
1.0499399900e-01    5.0927381516e+00
1.0799399763e-01    5.2762966156e+00
1.1099400371e-01    5.4765853882e+00
1.1399400234e-01    5.7404184341e+00
1.1699400097e-01    5.8515329361e+00
1.1999399960e-01    6.0181202888e+00
1.2299399823e-01    6.1870074272e+00
1.2599399686e-01    6.4700441360e+00
1.2899400294e-01    6.6256580353e+00
1.3199399412e-01    6.7593111992e+00
1.3499400020e-01    6.9431653023e+00
1.3799400628e-01    7.1191625595e+00
1.4099399745e-01    7.4167618752e+00
1.4399400353e-01    7.5248646736e+00
1.4699399471e-01    7.6828808784e+00
1.4999400079e-01    7.8631315231e+00
1.5299400687e-01    8.1059017181e+00
1.5599399805e-01    8.3086128235e+00
1.5899400413e-01    8.4303836823e+00
1.6199399531e-01    8.6091632843e+00
1.6499400139e-01    8.7758255005e+00
1.6799399257e-01    9.0805778503e+00
1.7099399865e-01    9.2025680542e+00
1.7399400473e-01    9.3482131958e+00
1.7699399590e-01    9.5385265350e+00
1.7999400198e-01    9.7425460815e+00
1.8299399316e-01    9.9917631149e+00
1.8599399924e-01    1.0106565475e+01
1.8899400532e-01    1.0274616241e+01
1.9199399650e-01    1.0445476532e+01
1.9499400258e-01    1.0732151985e+01
1.9799399376e-01    1.0885012627e+01
2.0099399984e-01    1.1016757965e+01
2.0399400592e-01    1.1210558891e+01
2.0699399710e-01    1.1387080193e+01
2.0999400318e-01    1.1668911934e+01
2.1299399436e-01    1.1787398338e+01
2.1599400043e-01    1.1940841675e+01
ENDATA

